Rule #,Name,Location,Tags,Type,Source Zone,Source Address,Source User,Source Device,Destination Zone,Destination Address,Destination Device,Application,Service,Action,Profile,Options,Target,Rule Usage Description,Rule Usage Rule Usage,Rule Usage Apps Seen,Days With No New Apps,Modified,Created
87,Block_Guest_to_DMZ_SMTP,sg-cloudfw,,universal,Guest,192.22.180.23/32,domain\finance,any,DMZ,192.56.101.11/32,any,smtp,ntp-udp-123,deny,none,log at both ends,PA-3410,Temporary allow per INC699828 (expires in 30d),8688,unknown-tcp,42,4/30/2025 0:38,11/8/2022 0:38
88,Allow_Mgmt_to_Trust_HTTP,sg-cloudfw,,universal,Mgmt,SG_Internal_Servers,domain\finance,any,any,192.4.0.0/16,any,web-browsing,SG_IRC_Backdoor_Suspect,allow,antivirus,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary allow per INC105027 (expires in 30d),0,unknown-tcp,81,10/25/2025 21:55,7/23/2024 21:55
89,Allow_Guest_to_Mgmt_RDP,sg-cloudfw,,universal,Guest,any,any,any,any,srv-sg-app19.corp.local,any,dns,rdp-tcp-3389,allow,best-practice,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,651,"rdp, vnc",310,8/26/2025 21:29,12/7/2022 21:29
90,Block_Trust_to_Guest_FTP,sg-cloudfw,,universal,Trust,SG_Internet_Tiers,any,any,Guest,192.83.179.28/32,any,pop3,ftp-bundle-tcp-20-21,deny,antivirus,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC144712,208,ssh,243,3/12/2025 8:43,9/20/2024 8:43
91,Allow_Guest_to_Mgmt_SMTP,sg-cloudfw,,universal,Guest,any,svc_backup,any,Mgmt,SG_All_Branches,any,smtp,netbios-ssn-tcp-139,allow,best-practice,log at both ends,PA-3410,Observed traffic baseline only,0,unknown-tcp,140,11/17/2024 3:08,12/11/2022 3:08
92,Allow_Trust_to_Mgmt_SSL,sg-cloudfw,,universal,Trust,192.193.162.16/32,any,any,Mgmt,net-core-192.168.0.0_16,any,ssl,ntp-udp-123,allow,strict,Traffic log sent at session end,PA-3410,Temporary workaround—no ticket provided,0,"rdp, vnc",297,4/6/2025 11:04,6/4/2022 11:04
93,Allow_Trust_to_DMZ_SMTP,sg-cloudfw,,universal,Trust,192.2.0.0/16,svc_backup,any,DMZ,SG_Anylike,any,smtp,SG_Windows_RPC_NetBIOS,allow,threat-prevention,none,PA-3410,Operational requirement documented in INC534257,0,"web-browsing, ssl",109,2/17/2025 17:39,4/24/2022 17:39
94,Allow_Trust_to_Guest_DNS,sg-cloudfw,,universal,Trust,192.56.101.11/32,domain\finance,any,Guest,any,any,dns,snmp-tcp-161,allow,best-practice,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Exception tracked in INC937812 pending remediation,0,"rdp, vnc",8,3/6/2025 14:37,7/27/2024 14:37
95,Allow_DMZ_to_DMZ_IMAP,sg-cloudfw,,universal,DMZ,net-tier-192_4_0_0_16,any,any,DMZ,any,any,imap,netbios-ns-udp-137,allow,default,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary allow per INC944503 (expires in 30d),0,dns,73,8/12/2025 3:00,5/19/2022 3:00
96,Allow_Mgmt_to_Guest_ANY-App,sg-cloudfw,,universal,Mgmt,SG_All_Addresses,any,any,Guest,SG_All_Branches,any,any,netbios-ssn-tcp-139,allow,antivirus,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Observed traffic baseline only,103,ssh,391,12/6/2024 14:21,4/6/2024 14:21
97,Allow_Internet_to_Mgmt_POP3,sg-cloudfw,,universal,Untrust,any,svc_batch,any,Mgmt,192.176.190.25/32,any,pop3,SG_IRC_Backdoor_Suspect,allow,default,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC326456,0,"ftp, smb",127,10/19/2025 2:26,3/9/2025 2:26
98,Allow_Mgmt_to_DMZ_IMAP,sg-cloudfw,,universal,Mgmt,any,svc_batch,any,DMZ,any,any,imap,ms-rpc-tcp-135,allow,strict,log at both ends,PA-3410,Operational requirement documented in INC225580,79,"ftp, smb",102,5/25/2025 21:18,1/5/2023 21:18
99,Block_Guest_to_DMZ_DNS,sg-cloudfw,,universal,Trust,srv-sg-app19.corp.local,any,any,Untrust,1.1.1.0/24,any,dns,smb-tcp-445,allow,default,log at both ends,PA-3410,Operational requirement documented in INC866835,5736,"rdp, vnc",279,3/9/2025 15:37,9/16/2023 15:37
100,Allow_DMZ_to_DMZ_SMTP,sg-cloudfw,,universal,DMZ,net-core-192.168.0.0_16,svc_batch,any,DMZ,any,any,smtp,SG_IRC_Backdoor_Suspect,allow,none,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary allow per INC592459 (expires in 30d),1455,ssh,314,11/11/2024 23:25,10/12/2024 23:25
101,Allow_Internet_to_DMZ_HTTP,sg-cloudfw,,universal,Untrust,net-tier-192_6_0_0_16,any,any,DMZ,192.216.80.0/18,any,web-browsing,SG_Insecure_File_Sharing,allow,strict,log at both ends,PA-3410,Observed traffic baseline only,3545,unknown-tcp,290,5/1/2025 4:07,2/17/2025 4:07
102,Allow_Trust_to_DMZ_FTP,sg-cloudfw,,universal,Trust,any,any,any,DMZ,192.183.112.0/17,any,ssh,ftp-data-tcp-20,allow,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC809427,0,"ftp, smb",346,6/14/2025 21:06,4/29/2023 21:06
103,Allow_Trust_to_DMZ_FTP,sg-cloudfw,,universal,Trust,any,any,any,DMZ,192.166.176.0/19,any,ssh,ftp-control-tcp-21,allow,strict,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC983599,0,(none),100,8/16/2025 7:45,7/28/2023 7:45
104,Block_Guest_to_DMZ_SSL,sg-cloudfw,,universal,Guest,SG_Corp_Internal,any,any,DMZ,192.108.144.0/18,any,ssl,pop3-tcp-110,deny,antivirus,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Legacy rule—owner unknown,5346,(none),107,5/9/2025 14:08,2/2/2024 14:08
105,Allow_Mgmt_to_Trust_ANY-App,sg-cloudfw,,universal,Mgmt,192.3.0.0/16,svc_backup,any,Trust,192.79.176.0/19,any,any,socks-proxy-tcp-1080,allow,antivirus,Traffic log sent at session end,PA-3410,Created during migration; documentation missing,2297,(none),240,7/20/2025 1:27,10/27/2023 1:27
106,Allow_Mgmt_to_Mgmt_ANY-App,sg-cloudfw,,universal,Mgmt,srv-sg-app20.corp.local,svc_backup,any,Mgmt,192.125.128.0/21,any,any,SG_Remote_Access_Insecure,allow,default,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Created during migration; documentation missing,30,ssh,166,3/11/2025 20:05,9/1/2024 20:05
107,Allow_Trust_to_DMZ_FTP,sg-cloudfw,,universal,Untrust,any,domain\finance,any,Trust,any,any,any,netbios-ns-tcp-137,allow,none,log at both ends,PA-3410,Exception tracked in INC721757 pending remediation,176,"ftp, smb",107,5/18/2025 4:25,6/13/2024 4:25
108,Allow_DMZ_to_DMZ_FTP,sg-cloudfw,,universal,Trust,192.7.0.0/16,svc_backup,any,Untrust,any,any,dns,pop3-tcp-110,allow,none,log at both ends,PA-3410,Change approved under INC512863,298,"rdp, vnc",197,8/7/2025 16:36,10/8/2023 16:36
109,Block_DMZ_to_Mgmt_SSL,sg-cloudfw,,universal,DMZ,SG_All_Addresses,svc_batch,any,Mgmt,192.66.160.0/19,any,ssl,pop3-tcp-110,deny,antivirus,none,PA-3410,Exception tracked in INC974479 pending remediation,0,"rdp, vnc",31,6/20/2025 15:51,1/8/2023 15:51
110,Block_Mgmt_to_Mgmt_SG_APP_ANY_AND_WEB,sg-cloudfw,,universal,Untrust,any,domain\itops,any,Trust,any,any,any,ftp-control-tcp-21,allow,none,Traffic log sent at start,PA-3410,,5731,unknown-tcp,14,10/3/2025 6:29,8/29/2022 6:29
111,Allow_DMZ_to_Trust_SG_APP_ANY_AND_WEB,sg-cloudfw,,universal,DMZ,srv-sg-app06.corp.local,any,any,Trust,192.69.80.0/19,any,SG_App_Any_And_Web,udp-any,allow,antivirus,Traffic log sent at session end,PA-3410,Exception tracked in INC136381 pending remediation,467,unknown-tcp,105,1/31/2025 5:02,4/3/2022 5:02
112,Allow_Internet_to_Trust_HTTP,sg-cloudfw,,universal,Untrust,any,svc_backup,any,Trust,192.59.16.0/18,any,web-browsing,backdoor-common-tcp-4444,allow,none,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Legacy rule—owner unknown,252,ssh,395,3/26/2025 7:19,10/8/2024 7:19
113,Block_Mgmt_to_Trust_ANY-App,sg-cloudfw,,universal,Mgmt,SG_Anylike,domain\finance,any,Trust,192.142.16.0/17,any,any,pop3-tcp-110,deny,default,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Exception tracked in INC731032 pending remediation,0,unknown-tcp,282,11/22/2024 15:01,6/9/2022 15:01
114,Allow_Internet_to_Guest_SSL,sg-cloudfw,,universal,Untrust,any,svc_backup,any,Trust,any,any,any,vnc-tcp-5900,allow,none,log at both ends,PA-3410,Operational requirement documented in INC403807,494,dns,32,6/25/2025 0:41,1/3/2023 0:41
115,Block_DMZ_to_Guest_POP3,sg-cloudfw,,universal,Untrust,any,svc_batch,any,Trust,any,any,any,irc-tcp-6660-6669,allow,none,Traffic log sent at session end,PA-3410,Temporary allow per INC353928 (expires in 30d),0,"web-browsing, ssl",238,9/17/2025 11:20,4/7/2023 11:20
116,Allow_Trust_to_Trust_SSH,sg-cloudfw,,universal,Untrust,any,svc_batch,any,DMZ,any,any,any,netbios-ns-tcp-137,allow,none,Traffic log sent at session end,PA-3410,Legacy rule—owner unknown,261,(none),76,7/8/2025 21:57,1/14/2025 21:57
117,Allow_Trust_to_Trust_ANY-App,sg-cloudfw,,universal,Trust,192.56.101.11/32,svc_batch,any,Trust,192.252.144.0/17,any,any,SG_Windows_RPC_NetBIOS,allow,best-practice,none,PA-3410,Exception tracked in INC535823 pending remediation,3502,(none),17,9/17/2025 20:11,4/18/2023 20:11
118,Allow_Guest_to_DMZ_HTTP,sg-cloudfw,,universal,Guest,SG_Branch_2_Subnets,svc_backup,any,DMZ,192.69.32.0/21,any,web-browsing,pop3-tcp-110,allow,strict,none,PA-3410,Temporary workaround—no ticket provided,3861,"ftp, smb",53,8/12/2025 5:36,12/14/2023 5:36
119,Allow_Guest_to_Guest_SG_APP_ANY_AND_WEB,sg-cloudfw,,universal,Guest,srv-sg-app08.corp.local,svc_batch,any,Guest,192.144.176.0/21,any,SG_App_Any_And_Web,netbios-ssn-tcp-139,allow,threat-prevention,none,PA-3410,Observed traffic baseline only,211,(none),260,2/26/2025 12:25,9/15/2023 12:25
120,Allow_Mgmt_to_DMZ_POP3,sg-cloudfw,,universal,Mgmt,SG_Legacy,svc_batch,any,DMZ,192.236.144.0/17,any,pop3,SG_IRC_Backdoor_Suspect,allow,threat-prevention,none,PA-3410,Temporary workaround—no ticket provided,2439,ssh,154,2/21/2025 10:52,5/19/2022 10:52
